"Date","mar_Open","mar_High","mar_Low","mar_Close","mar_Volume","mar_TWAP","mar_VWAP","mar_PreviousCloseDate","hlt_Open","hlt_High","hlt_Low","hlt_Close","hlt_Volume","hlt_TWAP","hlt_VWAP","hlt_PreviousCloseDate"
"2021-11-26",135.8,136.6,132.12,136.21,3513628,134.427365,134.485376,"2021-11-24",146.65,147.76,140.55,147.44,4264532,143.994288,144.109353,"2021-11-24"
"2021-11-24",143.98,146.37,142.95,145.29,1066855,145.172544,145.081155,"2021-11-23",156.12,158.07,153.395,157.61,1533094,157.028486,156.909509,"2021-11-23"
"2021-11-23",145.55,146.83,144.59,145.73,1405623,145.555752,145.610554,"2021-11-22",157.38,158.45,156.14,157.44,1926847,157.219636,157.261445,"2021-11-22"
"2021-11-22",145.55,145.68,141.86,143.87,2180587,143.845313,143.805494,"2021-11-19",156.16,157.15,152.79,156.41,2269155,155.964872,156.071898,"2021-11-19"
"2021-11-19",140.73,145.14,137.085,144.37,3014526,142.368125,142.181486,"2021-11-18",153.98,156.09,150.26,154.92,1879819,153.54334,153.642765,"2021-11-18"
"2021-11-18",145.09,145.89,142.51,143.59,1313399,143.767793,143.748015,"2021-11-17",156.77,157.74,154.84,155.73,1126849,155.715883,155.743112,"2021-11-17"
"2021-11-17",140.81,144.73,139.85,144.53,2306013,143.112407,143.133204,"2021-11-16",153.27,156.91,152.33,156.72,1965643,155.165212,155.184174,"2021-11-16"
"2021-11-16",142.87,144.29,140.315,141.74,2396742,142.389257,142.450283,"2021-11-15",155.1318,155.58,152.815,153.99,2137677,154.299715,154.288294,"2021-11-15"
"2021-11-15",144.25,144.41,142.42,142.91,955691,143.175389,143.151655,"2021-11-12",157.04,157.794,154.875,155.68,1378623,155.846249,155.856637,"2021-11-12"
"2021-11-12",143.7,145.46,142.8,143.47,1872486,144.001847,143.867346,"2021-11-11",157.5,158.95,155.53,156.48,1914131,157.043568,157.018671,"2021-11-11"
"2021-11-11",145.81,147.1498,143.4,143.58,1634083,145.037002,144.946726,"2021-11-10",160.624,161,156.62,156.87,1664922,158.203586,158.074522,"2021-11-10"
"2021-11-10",147.43,149.19,145.23,146.53,1255864,147.033106,146.828804,"2021-11-09",163.48,164.5,159.5928,160.99,1555026,161.538691,161.464802,"2021-11-09"
"2021-11-09",150.87,151.98,146.63,148.46,1354584,148.373093,148.425484,"2021-11-08",168.05,168.05,162.39,164.77,1774555,164.721995,164.810395,"2021-11-08"
"2021-11-08",152.26,154.4,150.48,151.17,1893741,151.848409,151.825051,"2021-11-05",170.33,170.84,167.33,168.39,2476613,168.758563,168.730352,"2021-11-05"
"2021-11-05",152.19,153.84,148.69,151.84,3035096,151.243681,151.302386,"2021-11-04",169.4,171.68,166.23,167.61,2955557,168.205165,168.237083,"2021-11-04"
"2021-11-04",145.99,148.085,145.84,147.44,1284906,147.165512,147.179178,"2021-11-03",166.018,166.018,162.71,164.09,1863766,164.36717,164.435693,"2021-11-03"
"2021-11-03",140.49,146.81,139.87,145.24,2336205,144.969718,144.843611,"2021-11-02",160.76,166.82,157.07,164.53,3158379,163.447385,163.42949,"2021-11-02"
"2021-11-02",144.51,144.96,140.62,141.34,2592267,141.768231,141.725316,"2021-11-01",160.95,161.92,158.33,160.06,2616123,159.940774,160.008165,"2021-11-01"
"2021-11-01",144.3,145.51,143.2,144.78,4249443,144.256578,144.213524,"2021-10-29",160.4,162.15,159.29,161.83,2178086,161.537899,161.582091,"2021-10-29"
"2021-10-29",145.58,146.5,142.84,143.95,2566134,144.184401,144.063267,"2021-10-28",159,161.05,157.45,160.02,2025350,159.207592,159.334998,"2021-10-28"
"2021-10-28",148.35,148.725,145.59,146.04,1620578,146.869225,146.805904,"2021-10-27",159.56,162.31,158.26,159.97,2317612,160.266988,160.175192,"2021-10-27"
